post_num,track_name,artist,broll_idea,themes,min_videos
19,Relax My Eyes,ANOTR,city drive night lights highway,city drive nightlife,6
20,Vertigo Carlita Remix,ANOTR,nightclub neon lights laser beams,nightlife light lasers,6
21,Make Me Feel,PAWSA,nightclub crowd dancing hands up,nightlife crowd party,6
22,Collect The Commas,PAWSA,nightclub crowd jumping energy,nightlife crowd energy,6
23,Pumpin,Michael Bibi,nightclub crowd bass drop reaction,nightlife crowd bass,6
24,Got The Fire,Michael Bibi,nightclub lights smoke atmosphere,nightlife light smoke,6
25,Ecstasy,Chris Stussy,nightclub crowd euphoric dancing,nightlife crowd euphoria,6
26,Desire,Chris Stussy,nightclub purple lights mood,nightlife light purple,6
27,Sunglasses At Night,John Summit,city drive sunset boulevard,city drive sunset,6
28,Where Are You,John Summit,nightclub crowd searching lights,nightlife crowd lights,6
29,Girl$,Dom Dolla,nightclub crowd hands money,nightlife crowd party,6
30,Saving Up,Dom Dolla,nightclub ambient lights glow,nightlife light ambient,6
31,Big Talk,Cloonee,nightclub crowd loud energy,nightlife crowd energy,6
32,Like What,Cloonee,nightclub crowd jumping bass,nightlife crowd bass,6
33,Rapture,Dennis Cruz,nightclub lights euphoric beams,nightlife light euphoria,6
34,Madness,Dennis Cruz,nightclub crowd wild energy,nightlife crowd energy,6
35,Body Language,Gorgon City,nightclub lights sensual atmosphere,nightlife light sensual,6
36,Voodoo,Gorgon City,nightclub crowd tribal dancing,nightlife crowd tribal,6
37,Lovelee Dae,Blaze,luxury bar champagne glasses,luxury bar champagne,6
38,Do You Want It Right Now,Degrees Of Motion,luxury bar cocktails mixing,luxury bar cocktails,6
39,Ain't Nobody,Felix Da Housecat,nightclub lights spinning energy,nightlife light energy,6
40,Brighter Days,Cajmere,nightclub crowd sunrise vibes,nightlife crowd sunrise,6
41,Percolator,Cajmere,nightclub crowd bouncing rhythm,nightlife crowd rhythm,6
42,Free,Ultra Nate,luxury bar freedom celebration,luxury bar celebration,6
43,Let Me Show You,Kerri Chandler,DJ booth mixing console closeup,dj booth mixing,6
44,Bar A Thym,Kerri Chandler,DJ booth turntables hands,dj booth turntables,6
45,Another Chance,Roger Sanchez,nightclub crowd romantic moment,nightlife crowd romantic,6
46,I Want Your Soul,Armand Van Helden,nightclub lights hypnotic patterns,nightlife light hypnotic,6
47,You Don't Know Me,Armand Van Helden,nightclub crowd mysterious atmosphere,nightlife crowd mystery,6
48,Tell Me,Eats Everything,nightclub crowd asking energy,nightlife crowd energy,6
49,Jetsetter,Eats Everything,nightclub lights travel vibes,nightlife light travel,6
50,The Answer,Low Steppa,DJ booth mixing answer moment,dj booth mixing,6
51,Bang To The Beat,Low Steppa,nightclub crowd banging rhythm,nightlife crowd rhythm,6
52,Everything Is Burning,Hot Since 82,nightclub lights fire atmosphere,nightlife light fire,6
53,Poison,Hot Since 82,nightclub lights toxic purple,nightlife light purple,6
54,Feelin,Disclosure,city drive feeling good vibes,city drive vibes,6
55,Higher Than Ever Before,Disclosure,city drive elevated highway,city drive elevated,6
56,Funk Phenomena,Armand Van Helden,nightclub crowd funk dancing,nightlife crowd funk,6
57,Work,Masters At Work,DJ booth working mixing hard,dj booth mixing,6
58,To Be In Love,Masters At Work,luxury bar romantic couple,luxury bar romantic,6
59,I Feel Love House Edit,Donna Summer,abstract aesthetic colorful lights,abstract aesthetic lights,6
60,Finally Original,Kings Of Tomorrow,luxury bar celebration moment,luxury bar celebration,6
61,Feel My Needs,Weiss,nightclub crowd intense energy,nightlife crowd energy,6
62,Let Me Be,Weiss,nightclub lights peaceful moment,nightlife light peaceful,6
63,Rise,Purple Disco Machine,city drive sunrise highway,city drive sunrise,6
64,Substitution,Purple Disco Machine,city drive night lights speed,city drive speed,6
65,The Whistle Song,Frankie Knuckles,DJ booth whistle moment crowd,dj booth crowd,6
66,Rain Falls,Frankie Knuckles,nightclub lights rain atmosphere,nightlife light rain,6
67,Time,Paco Osuna,nightclub crowd clock energy,nightlife crowd energy,6
68,Grove Code,Paco Osuna,nightclub crowd underground techno,nightlife crowd techno,6
